path,label,crop
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust196_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1551_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust224_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1648_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1674_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust173_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1670_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1567_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust221_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust216_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1626_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust171_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1559_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1548_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1555_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1659_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1625_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust165_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1617_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust153_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1647_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1649_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1652_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1613_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1638_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust18_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1627_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1589_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust167_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust160_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1672_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust162_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1591_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust181_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust225_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1600_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1557_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1596_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1667_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust205_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust227_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust154_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1586_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1582_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1540_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1587_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust229_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1563_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust16_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1671_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust204_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1584_.jpg,red rust,Cashew
