path,label,label_id
output/processed/streak virus/streak virus756_.jpg,streak virus,16
output/processed/leaf miner/leaf miner206_.jpg,leaf miner,11
output/processed/leaf beetle/leaf beetle479_.jpg,leaf beetle,8
output/processed/red rust/red rust558_.jpg,red rust,14
output/processed/leaf spot/leaf spot1062_.jpg,leaf spot,12
output/processed/streak virus/streak virus331_.jpg,streak virus,16
output/processed/red rust/red rust1436_.jpg,red rust,14
output/processed/healthy/healthy43_.jpg,healthy,7
output/processed/anthracnose/anthracnose713_.jpg,anthracnose,0
output/processed/leaf blight/leaf blight745_.jpg,leaf blight,9
output/processed/brown spot/brown spot1114_.jpg,brown spot,2
output/processed/brown spot/brown spot764_.jpg,brown spot,2
output/processed/red rust/red rust149_.jpg,red rust,14
output/processed/bacterial blight/bacterial blight175_.jpg,bacterial blight,1
output/processed/bacterial blight/bacterial blight1513_.jpg,bacterial blight,1
output/processed/anthracnose/anthracnose840_.jpg,anthracnose,0
output/processed/grasshoper/grasshoper365_.jpg,grasshoper,4
output/processed/bacterial blight/bacterial blight2443_.jpg,bacterial blight,1
output/processed/leaf spot/leaf spot975_.jpg,leaf spot,12
output/processed/anthracnose/anthracnose1618_.jpg,anthracnose,0
output/processed/leaf blight/leaf blight238_.jpg,leaf blight,9
output/processed/fall armyworm/fall armyworm241_.jpg,fall armyworm,3
output/processed/bacterial blight/bacterial blight976_.jpg,bacterial blight,1
output/processed/leaf beetle/leaf beetle311_.jpg,leaf beetle,8
output/processed/septoria leaf spot/septoria leaf spot884_.jpg,septoria leaf spot,15
output/processed/bacterial blight/bacterial blight30_.jpg,bacterial blight,1
output/processed/streak virus/streak virus149_.jpg,streak virus,16
output/processed/septoria leaf spot/septoria leaf spot2265_-1P58Bb.jpg,septoria leaf spot,15
output/processed/septoria leaf spot/septoria leaf spot389_.jpg,septoria leaf spot,15
output/processed/leaf blight/leaf blight702_.jpg,leaf blight,9
output/processed/leaf beetle/leaf beetle237_.jpg,leaf beetle,8
output/processed/streak virus/streak virus759_.jpg,streak virus,16
output/processed/bacterial blight/bacterial blight1730_.jpg,bacterial blight,1
output/processed/healthy/healthy6_.jpg,healthy,7
output/processed/leaf spot/leaf spot316_.jpg,leaf spot,12
output/processed/leaf curl/leaf curl468_.jpg,leaf curl,10
output/processed/healthy/healthy139_.jpg,healthy,7
output/processed/gumosis/gumosis81_.jpg,gumosis,6
output/processed/anthracnose/anthracnose1719_.jpg,anthracnose,0
output/processed/streak virus/streak virus196_.jpg,streak virus,16
output/processed/anthracnose/anthracnose1254_.jpg,anthracnose,0
output/processed/red rust/red rust1315_.jpg,red rust,14
output/processed/leaf spot/leaf spot535_.jpg,leaf spot,12
output/processed/anthracnose/anthracnose398_.jpg,anthracnose,0
output/processed/verticulium wilt/verticulium wilt566_.jpg,verticulium wilt,17
output/processed/bacterial blight/bacterial blight2405_.jpg,bacterial blight,1
output/processed/leaf miner/leaf miner979_.jpg,leaf miner,11
output/processed/mosaic/mosaic180_.jpg,mosaic,13
output/processed/bacterial blight/bacterial blight1523_.jpg,bacterial blight,1
output/processed/red rust/red rust885_.jpg,red rust,14
output/processed/bacterial blight/bacterial blight1318_.jpg,bacterial blight,1
output/processed/verticulium wilt/verticulium wilt559_.jpg,verticulium wilt,17
output/processed/leaf curl/leaf curl130_.jpg,leaf curl,10
output/processed/leaf miner/leaf miner310_.jpg,leaf miner,11
output/processed/verticulium wilt/verticulium wilt43_.jpg,verticulium wilt,17
output/processed/healthy/healthy560_.jpg,healthy,7
output/processed/streak virus/streak virus140_.jpg,streak virus,16
output/processed/brown spot/brown spot1182_.jpg,brown spot,2
output/processed/mosaic/mosaic510_.jpg,mosaic,13
output/processed/grasshoper/grasshoper241_.jpg,grasshoper,4
output/processed/mosaic/mosaic283_.jpg,mosaic,13
output/processed/red rust/red rust1093_.jpg,red rust,14
output/processed/verticulium wilt/verticulium wilt343_.jpg,verticulium wilt,17
output/processed/bacterial blight/bacterial blight1786_.jpg,bacterial blight,1
output/processed/red rust/red rust1149_.jpg,red rust,14
